Compound_ID,structure,tPSA,CLogP,text
HW180019,C=CC(=O)NCC1=NN(C2=CC=C(OC(F)(F)F)C=C2)C2=C1C(C(O)CO)=CC=N2,106.75,0.722821,"P1: H226 IC50 (nM)=15.6(30.7)
P2: H226 IC50 (nM)=16.7(30.7)
,25(180002:21.7)
hERG IC50 = 7.98uM
AUC0-t(h*ng/ml)=18395(mou),F%=103
MMS(T1/2 min)H/R/Mou/D/Mon
823/681/384/∞/280
Solubility(ug/ml):8.4/FaSSGF (pH 1.6); 
13.1/FaSSIF (pH 6.5); 3.3/PBS (pH 7.4) *"
HW180017,CNS(=O)(=O)C1=CN=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,86.16,3.44894,"MCF-7 IC50 (nM)=111.16(34.6), Top=89.5%
H226 IC50 (nM)=21(7.9), Top=63%
hERG IC50= 6.86 uM
Solubility(ug/ml):750/FaSSGF (pH 1.6); 5.83/FaSSIF (pH 6.5); 0.055/PBS (pH 7.4)"
HW180020,C=C(F)C(=O)N1CC(N2C(=O)N(C3=CC=C(C(F)(F)F)C=C3)C3=C2N=CC=N3)C1,68.58,3.04995,"H226 IC50 (nM)=27(180002:49.2),Top=80%
hERG IC50 = 22.52uM
Solubility(ug/ml):7.3/FaSSGF (pH 1.6); 6.08/FaSSIF (pH 6.5); 3.79/PBS (pH 7.4)"
HW180016,C=C(F)C(=O)N1CC(N2N=C(C3=CC=C(C(F)(F)F)C=C3)C3=C2N=CC=C3)C1,48.27,3.9268,"MCF-7 IC50 (nM)=8.59(48.02), Top=85.93%"
HW181005,CN1C=NC(C2=CC(N=S(C)(C)=O)=CC=C2NC2=NC=C(C(F)(F)F)C=C2)=C1,,,HEK293T IC50 (nM)>1000(20.7)
HW181004,CN1C=NC(C2=CC(NS(C)(=O)=O)=CC=C2NC2=NC=C(C(F)(F)F)C=C2)=C1,86.16,2.96129,"HEK293T IC50 (nM)=86.53(6.358),Top=65.62%
H226  IC50 (nM)=177.5(Staurosporine47.24)"
HW181002,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,73.8,3.69151,"MCF-7 IC50 (nM)=5045(23.35), 2617(35.51)
H226  IC50 (nM)=338.24(Staurosporine47.24)"
HW181001,CNS(=O)(=O)C1=CC=C(NC2=NC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,,,"HEK293T IC50 (nM)=23.09(16.54)
MCF-7 IC50 (nM)=85.55(31.61)
H226  IC50 (nM)=19.02(10.29)
Fu (%) H/R/Mou/D/Mon= 0.23/0.30/0.29/0.21/0.87
% of CYP inhibition(2C9/2D6/3A4M/3A4T, 10uM)=
 41.85/8.04/-2.45/19.37
CYP(2C9)IC50 (uM)=29.82
AUC0-t(h*ng/ml=26601(Mouse),10654(Rat)
MMS(T1/2 min)H/R/Mou/D/Mon
                     ?//127.99/397.95/1693.63/407.20"
HW181003,CN1C=NC(C2=CC(S(C)(=N)=O)=CC=C2NC2=NC=C(C(F)(F)F)C=C2)=C1,,2.34497,"HEK293T IC50 (nM)=1033(20.7)
HEK293T IC50 (nM)=963.68(49.03)"
HW181011,CC#CC1=CN=C(NC2=CC=C(S(=O)(=O)NC)C=C2C2=CN(C)C=N2)C=C1,86.16,2.82203,"H226 IC50 (nM)=1042,Top=49.87%
HEK293T IC50 (nM)=832.2(36.97),Top=52.74%
HEK293T IC50 (nM)=814.8(20.7)"
HW181009,CN1C=NC(C2=CC(C3(NS(C)(=O)=O)COC3)=CC=C2NC2=NC=C(C(F)(F)F)C=C2)=C1,95.39,3.10137,"HEK293T IC50 (nM)=3065(6.358),Top=27.12%"
HW181008,CNS(=O)(=O)C1=CC=C(NCC23CC(F)(C2)C3)C(C2=CN(C)C=N2)=C1,73.8,2.2136,"HEK293T IC50 (nM)=645.26(49.03),Top=57.50%"
HW181006,CN1C=NC(C2=CC(C(=O)NS(C)(=O)=O)=CC=C2NC2=NC=C(C(F)(F)F)C=C2)=C1,103.23,2.8033,"HEK293T IC50 (nM)=69.21(6.358),Top=53.00%
H226  IC50 (nM)=>5000(Staurosporine47.24)"
HW181015,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN(C)C(C)=N2)=C1,86.16,3.30234,"H226 IC50 (nM)=31.58,Top=77.35%
HEK293T IC50 (nM)=27.99(36.97),Top=58.27%
HEK293T IC50 (nM)=28.52(20.7)"
HW181021,CN1C=NC(C2=CC3=C(C=C2NC2=NC=C(C(F)(F)F)C=C2)CNS3(=O)=O)=C1,86.16,2.8139,HEK293T IC50 (nM)=13253.19(49.03)
HW181020,CNS(=O)(=O)C1=CC=C2C(=C1)C1=CN(C)N=C1CN2C1=NC=C(C(F)(F)F)C=C1,77.37,2.96651,MCF-7 IC50 (nM)=4098.32(41.89)
HW181016,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN(C)N=N2)=C1,98.52,2.35311,"HEK293T IC50 (nM)>1000(6.358)
H226 IC50 (nM)=3928(10.99)"
HW181012,CNS(=O)(=O)C1=CC=C2C(=C1)N(C)C(=O)CN=C2C1=CC=C(C(F)(F)F)C=C1,78.84,2.256,HEK293T IC50 (nM)>1000(16.54)
HW181029,CNS(=O)(=O)C1=CC=C(NC2=CC=CC(S(F)(F)(F)(F)F)=C2)C(C2=CN(C)C=N2)=C1,73.8,4.07251,"HEK293T IC50 (nM)=7.248(16.54)
Fu (%) H/R/Mou/D/Mon= 0.11/0.16/0.14/0.12/0.59
AUC0-t(h*ng/ml=5423(Mouse)"
HW181027,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CCCC3=N2)=C1,86.16,3.31734,"HEK293T IC50 (nM)=24.31(20.7)
H226 IC50 (nM)=21.9(32.63)
MCF-7 IC50 (nM)=14.42(23.35), Top=68.17%
Fu (%) H/R/Mou/D/Mon= 0.56/0.68/0.53/0.46/0.95
AUC0-t(h*ng/ml=31789(Mouse),
,1172.69(rat),14987.96(dog)
MMS(T1/2 min)H/R/Mou/D/Mon                 805.16/25.18/133.33/535.19/118.21"
HW181028,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CCOCC3=N2)=C1,95.39,2.28334,"HEK293T IC50 (nM)=63.41(49.03)Top=56.75%
MCF-7 IC50 (nM)=72.44(23.35), Top=68.76%
H226  IC50 (nM)=55.13(Staurosporine47.24)
AUC0-t(h*ng/ml=21178.45(Mouse)5983.22(rat)
Fu (%) H/R/Mou/D/Mon= 0.942/1.28/0.726/0.985/0.984
MMS(T1/2 min)H/R/Mou/D/Mon
                     1569.52/64.25/174.28/-/160.68"
HW181026,CNS(=O)(=O)C1=CC=C(NC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,,,"HEK293T IC50 (nM)=14.58(6.358),Top=88.26%
HEK293T IC50 (nM)=17.2(16.54)
H226 IC50 (nM)=71.9(32.63),22.93(20.45)
MCF-7 IC50 (nM)=69.09(23.35),Top=89.05%; 32.33(53.69),Top=87.57%
H226  IC50 (nM)=17.50(Staurosporine47.24)
Fu (%) H/R/Mou/D/Mon= 0.08/0.12/0.08/0.07/0.24
MMS(T1/2 min)H/R/Mou/D/Mon:  ?/148.82/348.48/207.63/202.08
AUC0-t(h*ng/ml=25047(Mouse),9548(rat),
17853.80(dog),98116.34(50mpk Mouse)
78766.28(200mpk rat), 40026.65(50mpk rat)
94674.61(100mpk rat),98641.50(150mpk rat)
Solubility(ug/ml):64.18/FaSSGF (pH 1.6); 2.82/FaSSIF (pH 6.5); <0.0094/PBS (pH 7.4)"
HW181032,CC(NC(=O)C1=CC2=CC=CC(C3=CC=C(OC(F)(F)F)C=C3)=C2N=C1)C1=CC=CC=N1,,,"MCF-7 IC50 (nM)=359.7(23.35)
H226  IC50 (nM)=93.57(Staurosporine47.24)"
HW181035,CC(NC(=O)C1=CN2C(OC3=CC=C(C(F)(F)F)C=C3)=CC=CC2=N1)C1=NC=CC=C1,,,"MCF-7 IC50 (nM)=113.7(23.35)
H226  IC50 (nM)=82.69(Staurosporine47.24)"
HW181036,CNS(=O)(=O)C1=CN=C(NC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,86.16,4.17994,"MCF-7 IC50 (nM)=441.8(23.35)
H226  IC50 (nM)=34.75(Staurosporine47.24)
H226  IC50 (nM)=16.74(6.043)"
HW181037,CC(=O)NC1CCN2N=C(C3=CC=CN=C3NC3=CC=C(C(F)(F)F)C=C3)C=C12,,,
HW181031,CC(NC(=O)C1=CC2=C(C=C1)N(C1=CC=C(C(F)(F)F)C=C1)C(=O)C=C2)C1=CC=CC=N1,,,MCF-7 IC50 (nM)=655.4(53.69)
HW181042,CNS(=O)(=O)C1=CN=C(NC2=CC=CC(S(F)(F)(F)(F)F)=C2)C(C2=CN(C)C=N2)=C1,86.16,4.17994,"H226  IC50 (nM)=25.64(Staurosporine47.24)
MCF-7 IC50 (nM)=62.02(53.69), Top=83.50%
AUC0-t(h*ng/ml=15565.51(Mouse)3453.99(rat)"
HW181041,COCC1CN2C=C(C3=CC=CN=C3NC3=CC=C(C(F)(F)F)C=C3)N=C2C(=O)N1,,,
HW181038,COC(=O)NC1CCN2N=C(C3=CC=CN=C3NC3=CC=C(C(F)(F)F)C=C3)C=C12,,,
HW181039,COC(=O)NC1CCN2C=C(C3=CC=CN=C3NC3=CC=C(C(F)(F)F)C=C3)N=C12,78.32,3.44993,H226  IC50 (nM)=9612(6.043)
HW181040,COCC1CN2N=C(C3=CC=CN=C3NC3=CC=C(C(F)(F)F)C=C3)C=C2C(=O)N1,,,"MCF-7 IC50 (nM)=10175.76 (14.94)
H226 IC50 (nM)=4097.41(6.22)"
HW181045,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)CC3=N2)=C1,86.16,3.83634,"MCF-7 IC50 (nM)=39.9(49.19)
H226  IC50 (nM)=5.72(2.082),27.69(10.99)
MMS(T1/2 min)H/R/Mou/D/Mon                
 399.34/41.66/99.58/909.08/197.92
AUC0-t(h*ng/ml=4320.2(rat),6169.4(mou)"
HW181044,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(F)CC3=N2)=C1,86.16,3.16034,
HW181043,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3C(=N2)CCC3C)=C1,,,"MCF-7 IC50 (nM)=61.13(53.69), Top=56.26%
AUC0-t(h*ng/ml=1860.46(rat)"
HW181047,CNS(=O)(=O)C1=CC=C(NC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=NN=C(C)O2)=C1,92.15,3.0838,"MCF-7 IC50 (nM)=1237.63(49.19)
H226 IC50 (nM)=175.3(10.38)"
HW181046,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(O)CC3=N2)=C1,,,
HW181052,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=NN3CCCC3=C2)=C1,86.16,3.41714,"MCF-7 IC50(nM)=14(37.11)
H226 IC50 (nM)=45.43(10.99)
AUC0-t(h*ng/ml=619.2(rat)
MMS(T1/2 min)H/R/Mou/D/Mon:  
348.74/12.37/88.47/271.69/11.50"
HW181048,CNS(=O)(=O)C1=CC=C(NC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=NN(C)C(C)=N2)=C1,86.16,3.60737,"H226 IC50 (nM)=18.21(24.93)
MCF-7 IC50(nM)=27.53(49.19)
Fu (%) H/R/Mou/D/Mon= 0.22/0.268/0.194/0.242/1.56
MMS(T1/2 min)H/R/Mou/D/Mon:  
178.30/105.29/170.73/274.94/144.60
Solubility(ug/ml):0.72/FaSSGF (pH 1.6); 0.55/FaSSIF (pH 6.5); <0.01/PBS (pH 7.4)
AUC0-t(h*ng/ml)=28663.76(Mouse)8743.75(rat)"
HW181050,CNS(=O)(=O)C1=CC=C(NC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=NN(C)C(=O)C=C2)=C1,90.87,3.17157,"MCF-7 IC50 (nM)=1750.06(49.19)
H226 IC50 (nM)=574.7(10.38)"
HW181049,CNS(=O)(=O)C1=CC=C(NC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=NOC(C)=N2)=C1,92.15,3.93223,MCF-7 IC50(nM)=835.43(61.34)
HW181051,CNS(=O)(=O)C1=CC=C(NC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C(=O)C=N2)=C1,90.87,3.14015,MCF-7 IC50 (nM)=3454.18(49.19)
HW181058,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CCNC(=O)C3=N2)=C1,,,"H226  IC50 (nM)=1912(2.082)
MCF-7 IC50(nM)>1500(37.11)"
HW181056,CNS(=O)(=O)C1=CC=C(NC2=CN=C(C(C)(C)O)C=C2)C(C2=CN3CCCC3=N2)=C1,106.39,1.97703,"MCF-7 IC50 (nM)=753.25(49.19)
H226 IC50 (nM)=662.7(14.39)"
HW181057,CNS(=O)(=O)C1=CC=C(NC2=CC=NC(C(C)(C)O)=C2)C(C2=CN3CCCC3=N2)=C1,106.39,1.97703,"MCF-7 IC50 (nM)=483453(49.19)
H226 IC50 (nM)=8010(18.65)"
HW181055,CNS(=O)(=O)C1=CC=C(NC2=CN=C(OC(F)(F)F)C=C2)C(C2=CN3CCCC3=N2)=C1,95.39,4.20766,"H226 IC50 (nM)=26.20(24.93),10.50(14.39)
MCF-7 IC50 (nM)=14.65(49.19)Top=60.60%
MMS(T1/2 min)H/R/Mou/D/Mon:  
104.45/10.53/43.82/67.29/19.36"
HW181054,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=NC3=C(CCC3)S2)=C1,,,"H226 IC50 (nM)=95.82(10.99)
MCF-7 IC50 (nM)=27.38(41.89)Top=60.60%"
HW181063,CC1(C2=NOC(C3=C(NC4=CC=C(C(F)(F)F)C=C4)N=CC=C3)=N2)CCNC1=O,,,"MCF-7 IC50 (nM)=333.01(42.64)
MCF-7 IC50 (nM)=159.85(56.64)"
HW181064,CC1(C2=NN=C(C3=C(NC4=CC=C(C(F)(F)F)C=C4)N=CC=C3)S2)CCNC1=O,,,"MCF-7 IC50 (nM)=109.28(42.64)
MCF-7 IC50 (nM)=67.62(56.64)"
HW181061,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CCCOC3=N2)=C1,,,
HW181062,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CCCCC3=N2)=C1,,,"H226 IC50(nM)=10.35(2.928),45.83(10.99)"
HW181059,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CCC(F)(F)C3=N2)=C1,86.16,3.48334,"H2052 IC50(nM)=44.82(6.061)
MCF-7 IC50 (nM)=225.81(56.64)"
HW181060,CC(C)NC(=O)C1=CN2C(OC3=CC=C(C(F)(F)F)C=C3)=CC=CC2=N1,,,"MCF-7 IC50 (nM)=185.85(49.19)
H226 IC50 (nM)=169.1(18.65)"
HW181065,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,95.39,3.81276,"MCF-7 IC50 (nM)=56.05(49.19), 112.69(61.34)Top=67.32%
P1(2015.69, 41.89), P2(49.45, 41.89)Top=57.23%
P1(1997.36, 61.34), P2(129.76, 61.34)
H226 IC50 (nM)=50.04(10.31),P1(199.7, 5.91); P2(24, 5.91);
MMS(T1/2 min)H/R/Mou/D/Mon                
 381.22/70.98/152.64/609.26/-
AUC0-t(h*ng/ml)=8059.15(rat)36301.89(mouse)"
HW181066,CNS(=O)(=O)C1=CC=C(NC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=NN(C)C=N2)=C1,86.16,3.33837,"H226  IC50 (nM)=8.919(2.928)31.11(10.99)
MCF-7 IC50(nM)=76.86(37.11)
Solubility(ug/ml): 1.93/FaSSGF (pH 1.6); 1.78/FaSSIF (pH 6.5); <0.01/PBS (pH 7.4)
Fu (%) H/R/Mou/D/Mon= 0.177/0.328/0.449/0.201/0.411
AUC0-t(h*ng/ml)=11670.46(rat)"
HW181068,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CCC(C)C3=N2)=C1,86.16,3.83634,"H226  IC50 (nM)=86.88(10.99)
MCF-7 IC50 (nM)=597.47(41.89)"
HW181071,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3C(=N2)CC2CC23)=C1,86.16,3.30234,MCF-7 IC50 (nM)=1608.97(42.64)
HW181069,[H]C1([H])CCN2C=C(C3=CC(S(=O)(=O)NC)=CC=C3NC3=NC=C(C(F)(F)F)C=C3)N=C21,86.16,2.86334,
HW181075,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)(C)CC3=N2)=C1,,,MCF-7 IC50(nM)=755.54(61.34)
HW181077,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)(C)OC3=N2)=C1,95.39,4.33176,
HW181078,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,95.39,3.81276,"MCF-7 IC50 (nM)=1428.58(42.64),"
HW181074,CC1(C2=CC3=CC=CC(C4=CC=C(C(F)(F)F)C=C4)=C3C=C2)CCNC1=O,29.1,5.049,MCF-7 IC50 (nM)=467.25(42.64)
HW181073,CC1(C2=CC3=CC=CC(C4=CC=C(C(F)(F)F)C=C4)=C3N=C2)CCNC1=O,41.46,3.762,
HW181072,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC4CC4C3=N2)=C1,86.16,3.07234,
HW181083,CC1(C2=NN=C(C3=C(NC4=CC5=C(C=C4)OC(F)(F)O5)N=CC=C3)O2)CCNC1=O,105.9,2.19933,"MCF-7 IC50(nM)=32.44(61.34)
MCF-7 IC50 (nM)=41.76(56.64)
H226 IC50(nM)=20.97(12.40)"
HW181079,CC1(C2=NN=C(C3=C(NC4=CC=C(OC(F)(F)CL)C=C4)N=CC=C3)O2)CCNC1=O,,,"MCF-7 IC50(nM)=12.68(61.34), 12.17(56.64)
540.68(14.95, HW181079A)
H226 IC50(nM)=6.42(12.40)
H226 IC50 (nM)=337.63(6.22)HW181079A
AUC0-t(h*ng/ml=42013.64(mou), 15340.8(rat)
Fu (%) H/R/Mou/D/Mon= 0.236/0.659/0.711/0.963/0.298
Solubility(ug/ml):18.98/FaSSGF (pH 1.6); 4.82/FaSSIF (pH 6.5); 0.13/PBS (pH 7.4)
MMS(T1/2 min)H/R/Mou/D/Mon
                    312.58/212.32/113.99/181.86/21.45
% of CYP inhibition(10 um, 2C9, 2D6, 3A4m, 3A4t): 37.17/2.10/-2.85/-12.30"
HW181079B,CC1(C2=NN=C(C3=C(NC4=CC=C(OC(F)(F)CL)C=C4)N=CC=C3)O2)CCNC1=O,96.67,2.23257,"MCF-7 IC50(nM)=5.07(14.94)
H226 IC50 (nM)=2.77(6.22)
AUC0-t(h*ng/ml=32552.71(mou),
17300(rat), 4319.31(dog)
Fu (%) H/R/Mou/D/Mon= 0.177/0.268/0.142/0.179/0.366"
HW181081,CC1(C2=NN=C(C3=C(NC4=CC=C(C5(C(F)(F)F)CC5)C=C4)N=CC=C3)O2)CCNC1=O,87.44,1.8427,"MCF-7 IC50 (nM)=51.26(42.64),
H226 IC50(nM)=74.24(16.73)"
HW181082,CC1(C2=CC=NC(C3=C(NC4=CC=C(C(F)(F)F)C=C4)N=CC=C3)=N2)CCNC1=O,78.21,2.76207,"H226 IC50(nM)=3843(16.73)
MCF-7 IC50 (nM)=5390(56.64)"
HW181080,CC1(C2=NN=C(C3=C(NC4=CC=C(C5(F)CC5)C=C4)N=CC=C3)O2)CCNC1=O,87.44,1.4427,
HW181089,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=NN3CCCOC3=C2)=C1,95.39,3.34156,
HW181088,CC1(C2=NN=C(C3=CC4=NC=CN4C=C3NC3=CC=C(C(F)(F)F)C=C3)O2)CCNC1=O,90.68,2.00925,MCF-7 IC50 (nM)=1057.24(42.64)
HW181086,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=NN3CCOC3=C2)=C1,95.39,3.18256,
HW181087,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=NN3CC(C)OC3=C2)=C1,95.39,3.70156,
HW181085,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,95.39,3.81276,"MCF-7 IC50 (nM)=80.88(42.64), 104.75(19.47)
H226 IC50(nM)=69.55(21.48)
AUC0-t(h*ng/ml=11736.9(rat), 16626.2(mou)
Fu (%) H/R/Mou/D= 0.305/0.610/0.468/0.300
Solubility(ug/ml):76.9/FaSSGF (pH 1.6); 21.67/FaSSIF (pH 6.5); 0.0042/PBS (pH 7.4)"
